# Image list with two lines of data per image:
# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 50, mean observations per image: 0
1 0.00000000 1.00000000 0.00000000 0.00000000 -0.00000000 0.00000000 0.00000000 1 photos_highres/000000.jpg

2 0.00000000 1.00000000 0.00000000 0.00000000 -0.00000000 0.00000000 0.00000000 2 photos_highres/000001.jpg

3 0.00000000 1.00000000 0.00000000 0.00000000 -0.00000000 0.00000000 0.00000000 3 photos_highres/000002.jpg

4 0.00000000 1.00000000 0.00000000 0.00000000 -0.00000000 0.00000000 0.00000000 4 photos_highres/000003.jpg

5 0.00000000 1.00000000 0.00000000 0.00000000 -0.00000000 0.00000000 0.00000000 5 photos_highres/000004.jpg

6 0.00000000 1.00000000 0.00000000 0.00000000 -0.00000000 0.00000000 0.00000000 6 photos_highres/000005.jpg

7 0.00000000 1.00000000 0.00000000 0.00000000 -0.00000000 0.00000000 0.00000000 7 photos_highres/000006.jpg

8 0.00000000 1.00000000 0.00000000 0.00000000 -0.00000000 0.00000000 0.00000000 8 photos_highres/000007.jpg

9 0.00000000 1.00000000 0.00000000 0.00000000 -0.00000000 0.00000000 0.00000000 9 photos_highres/000008.jpg

10 0.00000000 1.00000000 0.00000000 0.00000000 -0.00000000 0.00000000 0.00000000 10 photos_highres/000009.jpg

11 0.00000000 1.00000000 0.00000000 0.00000000 -0.00000000 0.00000000 0.00000000 11 photos_highres/000010.jpg

12 0.00000000 1.00000000 0.00000000 0.00000000 -0.00000000 0.00000000 0.00000000 12 photos_highres/000011.jpg

13 0.00000000 1.00000000 0.00000000 0.00000000 -0.00000000 0.00000000 0.00000000 13 photos_highres/000012.jpg

14 0.00000000 1.00000000 0.00000000 0.00000000 -0.00000000 0.00000000 0.00000000 14 photos_highres/000013.jpg

15 0.00000000 1.00000000 0.00000000 0.00000000 -0.00000000 0.00000000 0.00000000 15 photos_highres/000014.jpg

16 0.00000000 1.00000000 0.00000000 0.00000000 -0.00000000 0.00000000 0.00000000 16 photos_highres/000015.jpg

17 0.00000000 1.00000000 0.00000000 0.00000000 -0.00000000 0.00000000 0.00000000 17 photos_highres/000016.jpg

18 0.00000000 1.00000000 0.00000000 0.00000000 -0.00000000 0.00000000 0.00000000 18 photos_highres/000017.jpg

19 0.00000000 1.00000000 0.00000000 0.00000000 -0.00000000 0.00000000 0.00000000 19 photos_highres/000018.jpg

20 0.00000000 1.00000000 0.00000000 0.00000000 -0.00000000 0.00000000 0.00000000 20 photos_highres/000019.jpg

21 0.00000000 1.00000000 0.00000000 0.00000000 -0.00000000 0.00000000 0.00000000 21 photos_highres/000020.jpg

22 0.00000000 1.00000000 0.00000000 0.00000000 -0.00000000 0.00000000 0.00000000 22 photos_highres/000021.jpg

23 0.00000000 1.00000000 0.00000000 0.00000000 -0.00000000 0.00000000 0.00000000 23 photos_highres/000022.jpg

24 0.00000000 1.00000000 0.00000000 0.00000000 -0.00000000 0.00000000 0.00000000 24 photos_highres/000023.jpg

25 0.00000000 1.00000000 0.00000000 0.00000000 -0.00000000 0.00000000 0.00000000 25 photos_highres/000024.jpg

26 0.00000000 1.00000000 0.00000000 0.00000000 -0.00000000 0.00000000 0.00000000 26 photos_highres/000025.jpg

