#t[s:double],filename[string]
27185.075587541,27185075587541.png
27185.108913541,27185108913541.png
27185.142239541,27185142239541.png
27185.175565541,27185175565541.png
27185.208891666,27185208891666.png
27185.242217541,27185242217541.png
27185.275543625,27185275543625.png
27185.308869583,27185308869583.png
27185.342195708,27185342195708.png
27185.375521541,27185375521541.png
27185.408847583,27185408847583.png
27185.442173708,27185442173708.png
27185.475499750,27185475499750.png
27185.508825791,27185508825791.png
27185.542151666,27185542151666.png
27185.575477625,27185575477625.png
27185.608803625,27185608803625.png
27185.642129833,27185642129833.png
27185.675455750,27185675455750.png
27185.708781875,27185708781875.png
27185.742107583,27185742107583.png
27185.775433666,27185775433666.png
27185.808759833,27185808759833.png
27185.842085833,27185842085833.png
27185.875411833,27185875411833.png
27185.908737875,27185908737875.png
27185.942063833,27185942063833.png
27185.975389875,27185975389875.png
27186.008715833,27186008715833.png
27186.042041916,27186042041916.png
27186.075368083,27186075368083.png
27186.108693875,27186108693875.png
27186.142019916,27186142019916.png
27186.175345916,27186175345916.png
27186.208672041,27186208672041.png
27186.241998041,27186241998041.png
27186.275324000,27186275324000.png
27186.308649958,27186308649958.png
27186.341976041,27186341976041.png
27186.375302083,27186375302083.png
27186.408628166,27186408628166.png
27186.441954166,27186441954166.png
27186.475279958,27186475279958.png
27186.508606125,27186508606125.png
27186.541932083,27186541932083.png
27186.575258250,27186575258250.png
27186.608584083,27186608584083.png
27186.641910083,27186641910083.png
27186.675236250,27186675236250.png
27186.708562250,27186708562250.png
27186.741888208,27186741888208.png
27186.775214416,27186775214416.png
27186.808540416,27186808540416.png
27186.841866208,27186841866208.png
27186.875192250,27186875192250.png
27186.908518291,27186908518291.png
27186.941844375,27186941844375.png
27186.975170458,27186975170458.png
27187.008496250,27187008496250.png
27187.041822333,27187041822333.png
27187.075148250,27187075148250.png
27187.108474375,27187108474375.png
27187.141800416,27187141800416.png
27187.175126458,27187175126458.png
27187.208452375,27187208452375.png
27187.241778500,27187241778500.png
