#t[s:double],w.x[rad/s:double],w.y[rad/s:double],w.z[rad/s:double],a.x[m/s^2:double],a.y[m/s^2:double],a.z[m/s^2:double]
27185.080384792,-4.172136282e-02,-2.447508921e-02,-2.662085477e-02,3.510498184e-01,6.786963156e+00,7.020846731e+00
27185.090389792,-1.890177840e-02,-6.882620440e-03,-3.138394045e-02,3.492541672e-01,6.798036339e+00,7.054664829e+00
27185.100395792,4.105885738e-03,4.994881751e-03,-4.324834906e-02,3.565864098e-01,6.815095026e+00,7.058854682e+00
27185.110401792,1.716078662e-02,1.127861359e-02,-3.742102122e-02,2.965817307e-01,6.850559138e+00,7.051372802e+00
27185.120407792,2.425877110e-02,9.241572781e-03,-2.887735336e-02,2.317886482e-01,6.967575744e+00,7.002740581e+00
27185.130412792,2.624648406e-02,-1.479956521e-03,-1.094933589e-02,1.710357811e-01,7.104045238e+00,6.987776820e+00
27185.140418792,1.726630026e-02,-1.416939574e-04,1.012630346e-02,1.433528244e-01,7.178564765e+00,6.930615256e+00
27185.150424792,7.738748358e-03,-1.686191436e-03,2.401416880e-02,1.698386803e-01,7.165546294e+00,6.842927620e+00
27185.160430792,3.773233711e-03,8.566407008e-04,2.840630751e-02,2.485480598e-01,7.080851410e+00,6.844573634e+00
27185.170435792,7.978299696e-03,3.480678886e-04,2.413732763e-02,3.314472923e-01,6.978050376e+00,6.864475435e+00
27185.180441792,1.219268215e-02,1.127789448e-03,5.722241828e-03,4.107552223e-01,6.886621800e+00,6.858190656e+00
27185.190447792,1.717090309e-02,3.126863934e-03,-1.456758342e-02,4.532523018e-01,6.871508402e+00,6.872705503e+00
27185.200453792,1.852250272e-02,1.473195181e-02,-2.650188674e-02,4.435258575e-01,6.908917803e+00,6.836044290e+00
27185.210458792,7.399480848e-03,2.472920885e-02,-2.974668938e-02,3.438672134e-01,6.940940250e+00,6.763918965e+00
27185.220464792,3.899487900e-03,3.064925402e-02,-2.817426634e-02,2.310404602e-01,6.982389867e+00,6.736834559e+00
27185.230470792,9.434353205e-05,2.469841172e-02,-1.666914613e-02,1.610100616e-01,7.017853979e+00,6.778583450e+00
27185.240476792,-6.753695266e-03,1.802520344e-02,-6.625187046e-03,1.167173309e-01,7.034463753e+00,6.818237415e+00
27185.250482792,-1.308739407e-02,1.053072761e-02,2.217446936e-04,1.173158813e-01,6.998101815e+00,6.806565682e+00
27185.260487792,-1.658582318e-02,4.800850449e-03,1.200346004e-04,1.337760178e-01,6.983736605e+00,6.795642137e+00
27185.270493792,-1.508939142e-02,4.163751198e-03,4.657569027e-03,1.659481026e-01,6.994809788e+00,6.828412772e+00
27185.280499792,-1.388484981e-02,2.278122027e-03,3.466123934e-03,2.032078659e-01,6.984634431e+00,6.830058786e+00
27185.290505792,-7.287312168e-03,2.080466634e-03,1.328084631e-03,2.163759750e-01,6.960842052e+00,6.859238119e+00
27185.300510792,-3.671643929e-03,8.758014339e-03,1.024385951e-03,2.102408333e-01,6.950217782e+00,6.880037746e+00
27185.310516792,-4.570792474e-04,8.824742465e-03,6.624253423e-03,2.153285118e-01,6.985981169e+00,6.887968539e+00
27185.320522792,2.728129393e-03,7.781216966e-03,6.494244769e-03,2.189198143e-01,6.980444578e+00,6.908319253e+00
27185.330528792,-3.430719387e-03,1.324952628e-02,5.402952810e-03,2.249053185e-01,6.914903307e+00,6.882132672e+00
27185.340533792,-1.449359887e-02,1.204360408e-02,9.018454856e-03,2.287958961e-01,6.940790613e+00,6.865373260e+00
27185.350539792,-2.052947873e-02,9.812738873e-03,1.143532699e-02,2.262520569e-01,6.981192766e+00,6.893505130e+00
27185.360545792,-1.750276602e-02,1.052455134e-02,1.076265980e-02,1.993172882e-01,6.922534825e+00,6.900687735e+00
27185.370551792,-7.677695650e-03,8.900657685e-03,1.343235249e-02,1.979705498e-01,6.882581585e+00,6.953360172e+00
27185.380556792,5.627416706e-03,1.067728725e-02,1.007900678e-02,2.075473564e-01,6.849062762e+00,6.988076096e+00
27185.390562792,2.483470928e-02,1.686443236e-02,7.632574358e-03,2.213140160e-01,6.829011323e+00,6.977152551e+00
27185.400568792,3.746848967e-02,1.971688877e-02,4.541036460e-03,2.374748772e-01,6.825719296e+00,6.943035177e+00
27185.410574792,3.514843068e-02,2.469080065e-02,3.182808767e-03,2.246060432e-01,6.880486658e+00,6.846219647e+00
27185.420579792,2.628463902e-02,2.621140635e-02,4.915209902e-03,2.261024193e-01,6.984484793e+00,6.815843214e+00
27185.430585792,5.719824853e-03,2.325930449e-02,8.012738395e-03,2.039560539e-01,7.016806516e+00,6.738330935e+00
27185.440592000,-9.929832549e-03,1.792852558e-02,1.031886834e-02,1.807622253e-01,7.013664126e+00,6.732046156e+00
27185.450598000,-1.536017101e-02,7.703012712e-03,9.708524074e-03,1.726817947e-01,7.005882970e+00,6.799831990e+00
27185.460603000,-1.401017802e-02,5.418693680e-03,9.586081533e-03,1.859995415e-01,6.965630455e+00,6.880486658e+00
27185.470609000,-3.550817436e-03,2.559142665e-03,6.792438858e-03,1.824082390e-01,6.899789909e+00,6.922534825e+00
27185.480615000,1.084342331e-02,4.231870526e-03,7.307321743e-03,1.714846939e-01,6.909366716e+00,6.963086616e+00
27185.490621000,2.659289773e-02,4.714621998e-03,1.022858943e-02,1.708861435e-01,6.888567089e+00,6.934505833e+00
27185.500627000,3.508295112e-02,3.884358998e-03,1.249495279e-02,1.996165634e-01,6.924929027e+00,6.897694983e+00
27185.510632000,2.953217808e-02,2.724110537e-03,1.090396665e-02,2.404676292e-01,6.967725381e+00,6.811204448e+00
27185.520638000,1.280526262e-02,5.197982807e-03,5.967178841e-03,2.844610847e-01,6.969371395e+00,6.691045452e+00
27185.530644000,-8.003734087e-03,7.221280667e-03,2.502752211e-03,3.084031013e-01,7.017853979e+00,6.643759969e+00
27185.540650000,-3.011408452e-02,8.150853797e-03,2.452776682e-04,2.786252182e-01,6.998999641e+00,6.647500909e+00
27185.550655000,-3.753372750e-02,1.104734482e-02,2.769974052e-03,2.422632805e-01,7.014561951e+00,6.694337479e+00
27185.560661000,-3.631551756e-02,9.579876522e-03,4.110728689e-03,2.246060432e-01,7.032368826e+00,6.787711344e+00
27185.570667000,-3.426664497e-02,1.215661668e-02,-4.392878089e-04,2.328361115e-01,6.959345676e+00,6.839785230e+00
27185.580673000,-2.115017350e-02,1.457688942e-02,-1.046629189e-02,2.793734062e-01,6.927921779e+00,6.888118176e+00
27185.590678000,1.031427249e-03,1.606821464e-02,-1.182260374e-02,2.717418884e-01,6.933159095e+00,6.986729357e+00
27185.600684000,1.403600206e-02,2.395691102e-02,-1.000491570e-02,2.228103920e-01,6.918494610e+00,6.971167046e+00
27185.610690000,1.078510421e-02,3.259867409e-02,-6.045581174e-03,1.713350563e-01,6.927323228e+00,6.879588833e+00
27185.620696000,4.591994040e-03,3.458014604e-02,8.512173479e-05,1.238999359e-01,6.968623207e+00,6.852654064e+00
27185.630701000,-2.550694114e-03,2.706572468e-02,4.663852820e-03,9.756371765e-02,6.980294940e+00,6.876745718e+00
27185.640707000,-8.818338983e-03,1.170060634e-02,7.148834222e-03,1.068412491e-01,6.988674646e+00,6.888118176e+00
27185.650713000,-1.035012068e-02,-3.619356041e-03,6.562253349e-03,1.156698677e-01,7.000346379e+00,6.899490634e+00
27185.660719000,-7.523919589e-03,-1.875222878e-02,5.571337658e-03,1.179144318e-01,6.993014137e+00,6.915202583e+00
27185.670725000,-4.610899068e-04,-3.096142989e-02,1.016552356e-02,1.316810913e-01,6.997802540e+00,6.908468890e+00
27185.680730000,4.145305520e-03,-2.668557092e-02,1.454175251e-02,1.461959389e-01,6.990769572e+00,6.862530146e+00
27185.690736000,7.281773442e-03,-1.065208006e-02,1.872528035e-02,1.879448303e-01,6.996455801e+00,6.842329070e+00
27185.700742000,4.722001531e-03,5.711775727e-03,2.197729276e-02,2.132335854e-01,6.983736605e+00,6.803722568e+00
27185.710748000,1.338559465e-03,2.382172587e-02,2.415386678e-02,2.451063950e-01,6.988824284e+00,6.767061355e+00
27185.720753000,-2.899907034e-03,3.459398750e-02,2.343398122e-02,2.439092941e-01,7.002890218e+00,6.784568954e+00
27185.730759000,-7.093924449e-03,3.101680882e-02,2.238822248e-02,2.102408333e-01,7.012766300e+00,6.827215672e+00
27185.740765000,-6.542485326e-03,1.802286142e-02,2.138790487e-02,1.807622253e-01,7.000196741e+00,6.880037746e+00
27185.750771000,-3.412994657e-03,-7.659424362e-04,1.948186158e-02,1.855506287e-01,6.983886243e+00,6.917447147e+00
27185.760776000,-1.212454563e-02,-1.374480584e-02,1.742088683e-02,1.876455551e-01,6.980145303e+00,6.877793182e+00
27185.770782000,-1.709079834e-02,-1.909279126e-02,1.625140065e-02,1.792658493e-01,6.977451826e+00,6.837690304e+00
27185.780788000,-1.758521968e-02,-2.248841661e-02,1.520214869e-02,2.085948196e-01,6.943184814e+00,6.841281606e+00
27185.790794000,-2.137576720e-02,-1.440496487e-02,1.689718842e-02,2.383727028e-01,6.930465618e+00,6.823175456e+00
27185.800799000,-2.487177627e-02,9.841658287e-04,1.708664385e-02,2.252045937e-01,6.925677215e+00,6.780528739e+00
27185.810805000,-1.328918374e-02,7.920799930e-03,2.171145488e-02,2.275987953e-01,6.929867068e+00,6.853851165e+00
27185.820811000,-1.462397463e-03,1.634805980e-02,2.606175556e-02,2.249053185e-01,6.907571065e+00,6.938097136e+00
27185.830817000,1.394194576e-02,1.194584850e-02,2.754141474e-02,2.129343102e-01,6.912958018e+00,6.949319956e+00
27185.840822000,2.423705886e-02,1.220317353e-02,2.579882749e-02,2.418143677e-01,6.939892787e+00,6.947524305e+00
27185.850828000,2.268861268e-02,5.658542928e-03,1.996447947e-02,3.034650604e-01,6.941239526e+00,6.910414179e+00
27185.860834000,1.205848659e-02,5.490383683e-03,1.263598711e-02,3.517980064e-01,6.970119583e+00,6.842927620e+00
27185.870840000,-2.409358115e-03,5.408899605e-03,5.175620667e-03,3.531447449e-01,6.979247477e+00,6.773196497e+00
27185.880846000,-1.822024645e-02,7.070537791e-03,-2.292276543e-03,3.541922081e-01,6.953958722e+00,6.757933461e+00
27185.890851000,-2.297081748e-02,2.512896099e-03,-8.801055555e-03,3.435679382e-01,6.918943523e+00,6.784868230e+00
27185.900857000,-1.963712448e-02,-1.929319652e-03,-1.238212153e-02,2.991255699e-01,6.895001506e+00,6.852504427e+00
27185.910863000,-1.344626218e-02,-8.058798784e-03,-8.086256759e-03,2.353799507e-01,6.886621800e+00,6.891110928e+00
27185.920869000,-3.322094489e-03,-1.252277796e-02,-5.535379261e-03,2.181716263e-01,6.896348244e+00,6.914005482e+00
27185.930874000,7.958060839e-04,-1.395853332e-02,-5.264137449e-03,2.328361115e-01,6.913855844e+00,6.907271790e+00
27185.940880000,-1.570620172e-03,-1.220681905e-02,-6.028730260e-04,2.192190895e-01,6.944381915e+00,6.828263135e+00
27185.950886000,-8.467401609e-03,-7.260010576e-03,4.712097771e-03,2.256535065e-01,7.000047104e+00,6.772298671e+00
27185.960892000,-1.221741960e-02,-4.744722401e-03,2.567286491e-03,2.632125450e-01,6.999598191e+00,6.780678377e+00
27185.970897000,-7.148646527e-03,3.128844069e-04,-6.635789393e-04,3.066074501e-01,6.979696390e+00,6.822127993e+00
27185.980903000,-2.731941150e-03,5.777358481e-03,-2.028901836e-03,3.119944038e-01,6.940790613e+00,6.823624369e+00
27185.990909000,-8.798862878e-03,1.394955709e-02,-4.067890973e-03,3.054103493e-01,6.936151847e+00,6.787561707e+00
27186.000915000,-1.166421702e-02,1.972530485e-02,-6.230300736e-03,2.947860794e-01,6.921038449e+00,6.784568954e+00
27186.010920000,-1.014003722e-02,2.229766143e-02,-1.024627217e-02,2.888005753e-01,6.906822877e+00,6.821679080e+00
27186.020926000,-1.812560519e-02,1.678846627e-02,-8.878467495e-03,2.466027710e-01,6.922085912e+00,6.816890677e+00
27186.030932000,-2.663256675e-02,1.114080631e-02,-6.709056312e-03,1.770212852e-01,6.959495313e+00,6.822427268e+00
27186.040938000,-3.039385258e-02,3.770725602e-03,-9.202983564e-03,1.587654976e-01,6.957849300e+00,6.836193928e+00
27186.050944000,-2.972238496e-02,-9.503180760e-03,-1.233629635e-02,1.767220100e-01,6.924480114e+00,6.862530146e+00
27186.060949000,-2.032218059e-02,-1.305809333e-02,-1.645929423e-02,1.786672989e-01,6.926275765e+00,6.888716727e+00
27186.070955000,-1.071533207e-02,-1.037193134e-02,-1.794724835e-02,1.885433807e-01,6.921786637e+00,6.903530849e+00
27186.080961000,-4.048727337e-03,-3.240459729e-03,-1.625468923e-02,1.966238113e-01,6.945429379e+00,6.873453691e+00
27186.090967000,-5.995202841e-04,1.105460188e-02,-8.593525871e-03,1.750759964e-01,6.984933706e+00,6.835146465e+00
27186.100972000,5.861720560e-04,2.817394564e-02,1.721103092e-03,1.590647728e-01,7.024288396e+00,6.804919669e+00
27186.110978000,-3.030837067e-03,4.174179526e-02,1.792744283e-02,1.047463226e-01,7.041047807e+00,6.781276927e+00
27186.120984000,-8.090753869e-03,4.432988683e-02,3.499211201e-02,5.102642288e-02,7.085789451e+00,6.811653361e+00
27186.130990000,-9.550420013e-03,4.166145957e-02,4.741382351e-02,5.940612869e-02,7.058555407e+00,6.872106953e+00
27186.140995000,-5.779936205e-03,2.710003254e-02,4.988690407e-02,9.382277756e-02,6.994809788e+00,6.902782661e+00
27186.151001000,5.063707031e-03,1.476942007e-02,4.727541579e-02,1.604115112e-01,6.957250749e+00,6.968323932e+00
27186.161007000,1.032386877e-02,2.894620501e-03,4.133052113e-02,2.255038689e-01,6.920290261e+00,6.981043128e+00
27186.171013000,3.432750094e-03,-2.523858867e-03,3.029062867e-02,2.723404388e-01,6.897096432e+00,6.887818901e+00
27186.181018000,-1.068852371e-02,-4.502826240e-04,1.948565106e-02,3.193266464e-01,6.902483386e+00,6.804321118e+00
27186.191024000,-2.844313872e-02,7.267989736e-03,9.720112925e-03,3.377320717e-01,6.912060193e+00,6.759280199e+00
27186.201030000,-4.191097817e-02,1.002788449e-02,-8.230495873e-04,3.404255486e-01,6.898443171e+00,6.728454853e+00
27186.211036000,-4.448814248e-02,1.213808907e-02,-5.901732404e-03,3.450643143e-01,6.891859116e+00,6.795642137e+00
27186.221042000,-4.367566047e-02,8.612571195e-03,-9.218903614e-03,3.357867828e-01,6.895749694e+00,6.868665288e+00
27186.231047000,-4.261163592e-02,6.174693012e-03,-1.240818700e-02,3.175309952e-01,6.860285582e+00,6.913107656e+00
27186.241053000,-3.877982571e-02,4.993985653e-03,-1.467246631e-02,2.991255699e-01,6.820182704e+00,6.902483386e+00
27186.251059000,-3.917936748e-02,6.760546719e-03,-1.214695720e-02,2.573766785e-01,6.815244663e+00,6.897844621e+00
27186.261065000,-3.928402093e-02,7.049255512e-03,-8.012785596e-03,2.367266891e-01,6.852205151e+00,6.918494610e+00
27186.271070000,-2.908470668e-02,5.280599675e-03,-8.411101648e-03,2.305915474e-01,6.826916396e+00,6.950068144e+00
