#t[s:double],w.x[rad/s:double],w.y[rad/s:double],w.z[rad/s:double],a.x[m/s^2:double],a.y[m/s^2:double],a.z[m/s^2:double]
131859.443770000,6.899940816e-02,-2.211637993e-01,-1.653805538e-01,1.766172637e+00,5.641936212e+00,8.117091816e+00
131859.453777000,4.970380684e-02,-1.720620555e-01,-1.741583704e-01,1.710956361e+00,5.756109704e+00,7.895777800e+00
131859.463783000,3.049600431e-02,-1.566721336e-01,-1.780931910e-01,1.520168417e+00,5.831227781e+00,7.861660426e+00
131859.473790000,2.927472889e-03,-1.443216506e-01,-1.841408308e-01,1.346289521e+00,5.811774892e+00,7.798064445e+00
131859.483797000,-2.579651760e-02,-1.355117597e-01,-1.915032930e-01,1.248875441e+00,5.830030680e+00,7.756016278e+00
131859.493803000,-4.450848018e-02,-1.071705765e-01,-1.888359009e-01,1.180341418e+00,5.806537576e+00,7.793126404e+00
131859.503810000,-7.117466093e-02,-5.896947715e-02,-1.735931395e-01,1.108964281e+00,5.667224967e+00,7.831134355e+00
131859.513817000,-7.499670895e-02,-1.750855534e-02,-1.557966791e-01,9.641150810e-01,5.642983675e+00,7.970147689e+00
131859.523823000,-5.283691790e-02,-3.615993906e-03,-1.396098273e-01,8.459013741e-01,5.574898566e+00,8.241739940e+00
131859.533830000,-1.423766510e-02,-2.179343485e-02,-1.356736044e-01,7.661445312e-01,5.508160194e+00,8.462605043e+00
131859.543837000,2.651924852e-02,-6.772150653e-02,-1.370648214e-01,7.276876671e-01,5.486313104e+00,8.555679633e+00
131859.553843000,5.982554382e-02,-1.085885037e-01,-1.362094691e-01,7.655459808e-01,5.490652595e+00,8.513332191e+00
131859.563850000,8.175958881e-02,-1.350865747e-01,-1.294178394e-01,8.441057228e-01,5.481973614e+00,8.433575348e+00
131859.573857000,1.055918697e-01,-1.321713390e-01,-1.201117471e-01,9.222165520e-01,5.536142426e+00,8.388235154e+00
131859.583863000,1.222826464e-01,-1.112304592e-01,-1.162297145e-01,1.089661031e+00,5.581183345e+00,8.358606908e+00
131859.593870000,1.499462216e-01,-9.574375079e-02,-1.215311779e-01,1.208473288e+00,5.690568433e+00,8.311171788e+00
131859.603877000,1.916565414e-01,-1.125014466e-01,-1.409487668e-01,1.245583414e+00,5.700743790e+00,8.321347145e+00
131859.613883000,1.894381240e-01,-1.020351307e-01,-1.548744133e-01,1.254860945e+00,5.956923368e+00,8.159139983e+00
131859.623890000,1.603286896e-01,-9.303227482e-02,-1.779782495e-01,1.321449679e+00,5.966350537e+00,7.669226468e+00
131859.633897000,1.432160690e-01,-8.654522347e-02,-1.922734126e-01,1.340453654e+00,5.959467207e+00,7.525275093e+00
131859.643904000,1.218069540e-01,-8.798344252e-02,-2.106613082e-01,1.259350073e+00,6.102820032e+00,7.533355524e+00
131859.653910000,9.601044828e-02,-1.076118721e-01,-2.278816559e-01,1.217601182e+00,6.126612411e+00,7.471555193e+00
131859.663917000,7.168663806e-02,-1.353130945e-01,-2.382598553e-01,1.130063184e+00,6.152649354e+00,7.454646144e+00
131859.673924000,4.840903944e-02,-1.534040835e-01,-2.514908574e-01,1.095945810e+00,6.138583419e+00,7.479785262e+00
131859.683930000,5.196021151e-02,-1.573268142e-01,-2.606761263e-01,1.128417170e+00,6.098630179e+00,7.571962025e+00
131859.693937000,6.765846178e-02,-1.478722581e-01,-2.496643674e-01,1.040879172e+00,6.042964990e+00,7.756315553e+00
131859.703944000,8.367704689e-02,-1.376966932e-01,-2.302506990e-01,9.365817619e-01,6.022763914e+00,7.852382895e+00
131859.713950000,8.380268197e-02,-1.278763294e-01,-2.146960772e-01,9.096469933e-01,6.020668987e+00,7.770082213e+00
131859.723957000,6.595140480e-02,-1.192365191e-01,-2.007219585e-01,9.355342987e-01,5.988496902e+00,7.621043159e+00
131859.733964000,3.566487143e-02,-1.108928712e-01,-1.878037636e-01,9.412205276e-01,5.995829145e+00,7.472752294e+00
131859.743970000,2.960647016e-03,-9.974328362e-02,-1.759678161e-01,9.735422501e-01,6.003011750e+00,7.391648713e+00
131859.753977000,-2.071378764e-02,-8.430489432e-02,-1.689613384e-01,1.018283894e+00,6.043862816e+00,7.442974411e+00
131859.763984000,-2.643269012e-02,-7.288252163e-02,-1.719514144e-01,1.108216093e+00,6.067505557e+00,7.574206590e+00
131859.773990000,-2.321785641e-02,-7.439952539e-02,-1.864853253e-01,1.203535247e+00,6.005705227e+00,7.677755811e+00
131859.783997000,-7.726476796e-03,-1.003012070e-01,-2.089056877e-01,1.262642101e+00,5.944054534e+00,7.804349224e+00
131859.794004000,2.148291001e-02,-1.407067711e-01,-2.424686949e-01,1.289726507e+00,5.881506016e+00,7.912686849e+00
131859.804010000,4.882336389e-02,-1.931968157e-01,-2.802304827e-01,1.307234106e+00,5.825990465e+00,7.961019795e+00
131859.814017000,7.819030454e-02,-2.224746298e-01,-3.091795413e-01,1.281496439e+00,5.816563296e+00,7.951891901e+00
131859.824024000,9.941097781e-02,-2.264770506e-01,-3.247820909e-01,1.230320378e+00,5.846191541e+00,7.862857527e+00
131859.834030000,1.026953753e-01,-2.171158411e-01,-3.293671395e-01,1.129614271e+00,5.927295123e+00,7.727884409e+00
131859.844037000,7.128468374e-02,-2.028274987e-01,-3.158133210e-01,9.998784683e-01,6.004957039e+00,7.524377267e+00
131859.854044000,3.156432131e-02,-1.814012974e-01,-2.877505670e-01,8.734346931e-01,6.060622227e+00,7.344063955e+00
