#t[s:double],filename[string]
131859.440150583,131859440150582.png
131859.473476750,131859473476749.png
131859.506802916,131859506802916.png
131859.540129083,131859540129083.png
131859.573455041,131859573455041.png
131859.606780958,131859606780958.png
131859.640107041,131859640107040.png
131859.673432958,131859673432958.png
131859.706759208,131859706759208.png
131859.740085250,131859740085250.png
131859.773411416,131859773411416.png
131859.806737291,131859806737290.png
131859.840063541,131859840063541.png
131859.873389708,131859873389708.png
131859.906715750,131859906715750.png
131859.940041875,131859940041875.png
131859.973368000,131859973368000.png
131860.006693916,131860006693915.png
131860.040020166,131860040020166.png
131860.073346125,131860073346124.png
131860.106672416,131860106672416.png
131860.139998333,131860139998333.png
131860.173324500,131860173324500.png
131860.206650541,131860206650540.png
131860.239976583,131860239976582.png
131860.273302833,131860273302833.png
131860.306628750,131860306628750.png
131860.339954833,131860339954833.png
131860.373280833,131860373280833.png
131860.406607041,131860406607040.png
131860.439933166,131860439933166.png
131860.473259166,131860473259166.png
131860.506585333,131860506585333.png
131860.539911250,131860539911250.png
131860.573237333,131860573237333.png
131860.606563458,131860606563457.png
131860.639889708,131860639889708.png
131860.673215791,131860673215791.png
131860.706541625,131860706541625.png
131860.739867833,131860739867833.png
131860.773194000,131860773194000.png
131860.806519958,131860806519957.png
131860.839846166,131860839846166.png
131860.873172041,131860873172041.png
131860.906498291,131860906498291.png
131860.939824333,131860939824333.png
131860.973150416,131860973150415.png
131861.006476583,131861006476582.png
131861.039802708,131861039802708.png
131861.073128750,131861073128750.png
131861.106454750,131861106454750.png
131861.139780916,131861139780916.png
131861.173106916,131861173106915.png
131861.206433166,131861206433166.png
131861.239759333,131861239759333.png
131861.273085166,131861273085166.png
131861.306411375,131861306411375.png
131861.339737541,131861339737541.png
131861.373063625,131861373063625.png
131861.406389750,131861406389749.png
131861.439715500,131861439715499.png
131861.473041750,131861473041750.png
131861.506367875,131861506367875.png
131861.539693916,131861539693916.png
131861.573020083,131861573020082.png
131861.606346166,131861606346166.png
131861.639672083,131861639672083.png
131861.672998375,131861672998375.png
131861.706324291,131861706324291.png
131861.739650458,131861739650458.png
131861.772976625,131861772976625.png
131861.806302541,131861806302541.png
131861.839628583,131861839628583.png
131861.872954666,131861872954666.png
131861.906280791,131861906280791.png
131861.939607000,131861939607000.png
131861.972933083,131861972933082.png
131862.006259000,131862006258999.png
131862.039585125,131862039585125.png
131862.072911333,131862072911333.png
131862.106237500,131862106237500.png
131862.139563416,131862139563416.png
131862.172889416,131862172889415.png
131862.206215583,131862206215582.png
131862.239541625,131862239541625.png
131862.272867750,131862272867750.png
131862.306193833,131862306193833.png
131862.339519833,131862339519833.png
131862.372845916,131862372845915.png
131862.406172041,131862406172041.png
131862.439498125,131862439498125.png
131862.472824333,131862472824333.png
131862.506150375,131862506150375.png
131862.539476458,131862539476458.png
131862.572802458,131862572802457.png
131862.606128625,131862606128624.png
131862.639454750,131862639454750.png
131862.672780833,131862672780833.png
131862.706107000,131862706107000.png
131862.739433041,131862739433040.png
131862.772759041,131862772759041.png
131862.806085166,131862806085166.png
131862.839411333,131862839411333.png
131862.872737416,131862872737416.png
131862.906063291,131862906063291.png
131862.939389458,131862939389458.png
131862.972715583,131862972715582.png
131863.006041583,131863006041583.png
131863.039367875,131863039367875.png
131863.072693833,131863072693833.png
131863.106019750,131863106019750.png
131863.139346041,131863139346040.png
131863.172672125,131863172672124.png
131863.205998250,131863205998250.png
131863.239324333,131863239324333.png
131863.272650291,131863272650291.png
131863.305976333,131863305976333.png
131863.339302500,131863339302500.png
131863.372628708,131863372628707.png
131863.405954750,131863405954750.png
131863.439280791,131863439280791.png
131863.472606791,131863472606791.png
131863.505932875,131863505932875.png
131863.539259083,131863539259082.png
131863.572585083,131863572585082.png
131863.605911333,131863605911333.png
131863.639237291,131863639237291.png
131863.672563458,131863672563458.png
131863.705889416,131863705889416.png
131863.739215625,131863739215625.png
131863.772541583,131863772541582.png
131863.805867583,131863805867583.png
131863.839193791,131863839193791.png
131863.872519875,131863872519875.png
131863.905846041,131863905846040.png
131863.939172125,131863939172125.png
131863.972498250,131863972498249.png
131864.005824125,131864005824125.png
131864.039150166,131864039150166.png
131864.072476333,131864072476333.png
131864.105802416,131864105802415.png
131864.139128625,131864139128624.png
131864.172454750,131864172454749.png
131864.205780750,131864205780750.png
131864.239106875,131864239106875.png
131864.272432916,131864272432916.png
131864.305759000,131864305759000.png
131864.339085208,131864339085207.png
131864.372411041,131864372411041.png
131864.405737208,131864405737208.png
131864.439063375,131864439063375.png
131864.472389375,131864472389375.png
131864.505715583,131864505715583.png
131864.539041625,131864539041624.png
131864.572367541,131864572367541.png
131864.605693791,131864605693791.png
131864.639019916,131864639019916.png
131864.672345958,131864672345958.png
131864.705672000,131864705672000.png
131864.738998000,131864738997999.png
131864.772324041,131864772324041.png
131864.805650291,131864805650291.png
131864.838976375,131864838976375.png
131864.872302458,131864872302458.png
131864.905628541,131864905628540.png
131864.938954625,131864938954624.png
131864.972280625,131864972280624.png
131865.005606708,131865005606708.png
131865.038932791,131865038932791.png
131865.072259041,131865072259040.png
131865.105584958,131865105584957.png
131865.138911041,131865138911041.png
131865.172237166,131865172237166.png
131865.205563333,131865205563333.png
131865.238889500,131865238889500.png
131865.272215500,131865272215500.png
131865.305541500,131865305541500.png
131865.338867750,131865338867749.png
131865.372193750,131865372193750.png
131865.405519708,131865405519708.png
131865.438845916,131865438845916.png
131865.472171958,131865472171958.png
131865.505497958,131865505497957.png
131865.538824208,131865538824208.png
131865.572150125,131865572150125.png
131865.605476500,131865605476500.png
131865.638802416,131865638802416.png
131865.672128458,131865672128458.png
131865.705454458,131865705454457.png
131865.738780666,131865738780666.png
131865.772106666,131865772106666.png
131865.805432875,131865805432875.png
131865.838758791,131865838758791.png
131865.872084833,131865872084833.png
131865.905411083,131865905411082.png
131865.938737166,131865938737166.png
131865.972063375,131865972063375.png
131866.005389458,131866005389458.png
131866.038715416,131866038715416.png
131866.072041500,131866072041500.png
131866.105367541,131866105367541.png
131866.138693708,131866138693708.png
131866.172019791,131866172019791.png
131866.205345750,131866205345750.png
131866.238671791,131866238671791.png
131866.271998000,131866271998000.png
131866.305324125,131866305324124.png
131866.338650250,131866338650250.png
131866.371976333,131866371976333.png
131866.405302250,131866405302250.png
131866.438628416,131866438628416.png
131866.471954625,131866471954625.png
131866.505280625,131866505280624.png
131866.538606791,131866538606791.png
131866.571932583,131866571932583.png
131866.605258875,131866605258875.png
131866.638585000,131866638585000.png
131866.671911083,131866671911082.png
131866.705237166,131866705237166.png
131866.738563250,131866738563250.png
131866.771889166,131866771889166.png
131866.805215333,131866805215333.png
131866.838541500,131866838541500.png
131866.871867625,131866871867625.png
131866.905193708,131866905193708.png
131866.938519666,131866938519666.png
131866.971845708,131866971845708.png
131867.005171916,131867005171916.png
131867.038498000,131867038498000.png
131867.071824166,131867071824166.png
131867.105150291,131867105150291.png
131867.138476250,131867138476250.png
131867.171802333,131867171802333.png
131867.205128375,131867205128375.png
131867.238454416,131867238454415.png
131867.271780625,131867271780624.png
131867.305106416,131867305106416.png
131867.338432666,131867338432666.png
131867.371758791,131867371758791.png
131867.405084833,131867405084833.png
131867.438411000,131867438411000.png
131867.471736875,131867471736875.png
131867.505063000,131867505062999.png
131867.538389125,131867538389125.png
131867.571715250,131867571715250.png
131867.605041375,131867605041375.png
131867.638367583,131867638367582.png
131867.671693500,131867671693499.png
131867.705019666,131867705019666.png
131867.738345791,131867738345791.png
131867.771671791,131867771671791.png
131867.804998000,131867804998000.png
131867.838324000,131867838324000.png
131867.871650041,131867871650041.png
131867.904976208,131867904976208.png
131867.938302166,131867938302166.png
131867.971628416,131867971628416.png
131868.004954500,131868004954500.png
131868.038280500,131868038280500.png
131868.071606583,131868071606582.png
131868.104932750,131868104932750.png
131868.138258791,131868138258791.png
131868.171584875,131868171584875.png
131868.204910958,131868204910958.png
131868.238237000,131868238237000.png
131868.271563125,131868271563124.png
131868.304889250,131868304889250.png
131868.338215291,131868338215291.png
131868.371541500,131868371541500.png
131868.404867375,131868404867375.png
131868.438193541,131868438193540.png
131868.471519625,131868471519624.png
131868.504845708,131868504845708.png
131868.538171875,131868538171875.png
131868.571497708,131868571497708.png
131868.604823875,131868604823875.png
131868.638149916,131868638149915.png
131868.671476083,131868671476083.png
131868.704802250,131868704802250.png
131868.738128333,131868738128333.png
131868.771454291,131868771454291.png
131868.804780458,131868804780458.png
131868.838106541,131868838106540.png
131868.871432708,131868871432708.png
131868.904758708,131868904758708.png
131868.938084750,131868938084750.png
131868.971410833,131868971410833.png
131869.004736958,131869004736958.png
131869.038063000,131869038063000.png
131869.071389166,131869071389166.png
131869.104715291,131869104715291.png
131869.138041208,131869138041208.png
131869.171367333,131869171367333.png
131869.204693541,131869204693540.png
131869.238019625,131869238019624.png
131869.271345750,131869271345749.png
131869.304671875,131869304671875.png
131869.337997875,131869337997875.png
131869.371323833,131869371323833.png
131869.404650041,131869404650040.png
131869.437976166,131869437976166.png
131869.471302291,131869471302291.png
131869.504628250,131869504628250.png
131869.537954458,131869537954458.png
131869.571280500,131869571280500.png
131869.604606708,131869604606707.png
131869.637932750,131869637932749.png
131869.671258750,131869671258750.png
131869.704584750,131869704584750.png
131869.737910916,131869737910916.png
131869.771237041,131869771237040.png
131869.804563166,131869804563165.png
131869.837889250,131869837889249.png
131869.871215166,131869871215166.png
131869.904541208,131869904541208.png
131869.937867375,131869937867375.png
131869.971193500,131869971193500.png
131870.004519583,131870004519582.png
131870.037845666,131870037845666.png
131870.071171708,131870071171708.png
131870.104497666,131870104497666.png
131870.137823875,131870137823875.png
131870.171150083,131870171150083.png
131870.204476083,131870204476082.png
131870.237802041,131870237802041.png
131870.271128166,131870271128166.png
131870.304454250,131870304454250.png
131870.337780416,131870337780416.png
131870.371106541,131870371106540.png
131870.404432500,131870404432500.png
131870.437758708,131870437758708.png
131870.471084666,131870471084666.png
131870.504410750,131870504410750.png
131870.537736958,131870537736958.png
131870.571063083,131870571063083.png
131870.604389041,131870604389041.png
131870.637715041,131870637715041.png
131870.671041208,131870671041208.png
131870.704367416,131870704367416.png
131870.737693500,131870737693500.png
131870.771019583,131870771019582.png
131870.804345500,131870804345499.png
131870.837671625,131870837671624.png
131870.870997875,131870870997875.png
131870.904324000,131870904324000.png
131870.937650083,131870937650083.png
131870.970975916,131870970975915.png
131871.004302041,131871004302041.png
131871.037628250,131871037628250.png
131871.070954291,131871070954291.png
131871.104280375,131871104280375.png
131871.137606541,131871137606540.png
131871.170932500,131871170932500.png
131871.204258625,131871204258624.png
131871.237584708,131871237584708.png
131871.270910750,131871270910750.png
131871.304236875,131871304236875.png
131871.337562916,131871337562915.png
131871.370889000,131871370889000.png
131871.404215250,131871404215249.png
131871.437541250,131871437541250.png
131871.470867333,131871470867333.png
131871.504193333,131871504193333.png
131871.537519458,131871537519458.png
131871.570845583,131871570845582.png
131871.604171708,131871604171708.png
131871.637497833,131871637497833.png
131871.670824000,131871670824000.png
131871.704149750,131871704149750.png
131871.737476000,131871737476000.png
131871.770802166,131871770802166.png
131871.804128291,131871804128291.png
131871.837454416,131871837454416.png
131871.870780500,131871870780500.png
131871.904106416,131871904106416.png
131871.937432625,131871937432625.png
131871.970758583,131871970758582.png
131872.004084791,131872004084791.png
131872.037410791,131872037410791.png
131872.070736833,131872070736833.png
131872.104063041,131872104063041.png
131872.137389041,131872137389040.png
131872.170715208,131872170715207.png
131872.204041375,131872204041375.png
131872.237367416,131872237367416.png
131872.270693375,131872270693375.png
131872.304019541,131872304019541.png
131872.337345625,131872337345625.png
131872.370671791,131872370671791.png
131872.403997833,131872403997833.png
131872.437323708,131872437323708.png
131872.470649916,131872470649916.png
131872.503976000,131872503976000.png
131872.537302166,131872537302165.png
131872.570628250,131872570628249.png
131872.603954375,131872603954375.png
131872.637280375,131872637280375.png
131872.670606375,131872670606375.png
131872.703932500,131872703932500.png
131872.737258750,131872737258750.png
131872.770584833,131872770584833.png
131872.803910750,131872803910750.png
131872.837236791,131872837236791.png
131872.870563000,131872870563000.png
