#t[s:double],q.x[double],q.y[double],q.z[double],q.w[double],p.x[m:double],p.y[m:double],p.z[m:double]
131859.437818667,0.124661815,0.284317955,0.935006149,0.171426425,1.543569,1.040553,1.397549
131859.440318667,0.124906254,0.284293187,0.934922173,0.171745829,1.543686,1.040469,1.397541
131859.442818667,0.124851259,0.284406465,0.934848698,0.171996328,1.543847,1.040378,1.397592
131859.445318667,0.125492540,0.284440672,0.934713909,0.172207226,1.543929,1.040314,1.397519
131859.447818667,0.125394699,0.284455400,0.934671091,0.172484619,1.544086,1.040220,1.397562
131859.450318667,0.125682292,0.284476769,0.934578335,0.172744006,1.544210,1.040146,1.397557
131859.452818667,0.126028827,0.284630043,0.934439433,0.172989205,1.544326,1.040066,1.397553
131859.455318667,0.126278300,0.284833140,0.934299252,0.173231224,1.544433,1.039988,1.397561
131859.457818667,0.126380514,0.284883418,0.934222073,0.173488627,1.544535,1.039926,1.397558
131859.460318667,0.126585408,0.284882495,0.934143997,0.173762655,1.544656,1.039851,1.397561
131859.462818667,0.126677532,0.284986520,0.934052164,0.174014992,1.544748,1.039790,1.397572
131859.465318667,0.126836043,0.285090863,0.933947533,0.174292956,1.544860,1.039720,1.397573
131859.467818667,0.126813634,0.284903585,0.933938353,0.174663457,1.544918,1.039651,1.397502
131859.470318667,0.127314094,0.284912467,0.933816614,0.174934052,1.544963,1.039577,1.397447
131859.472818667,0.127057485,0.284843666,0.933822264,0.175204781,1.545138,1.039490,1.397523
131859.475318667,0.127193511,0.284943624,0.933728369,0.175443823,1.545232,1.039409,1.397534
131859.477818667,0.127071687,0.284920052,0.933695206,0.175748061,1.545287,1.039334,1.397484
131859.480318667,0.127761954,0.285351487,0.933446166,0.175866566,1.545521,1.039242,1.397651
131859.482818667,0.127816094,0.285313888,0.933383126,0.176223606,1.545604,1.039178,1.397652
131859.485318667,0.127922653,0.285331636,0.933312884,0.176488137,1.545705,1.039094,1.397646
131859.487818667,0.128112014,0.285353263,0.933235011,0.176728163,1.545818,1.039020,1.397661
131859.490318667,0.128188096,0.285402709,0.933162805,0.176976305,1.545931,1.038927,1.397677
131859.492818667,0.128393185,0.285377693,0.933096085,0.177219277,1.546004,1.038862,1.397658
131859.495318667,0.128447378,0.285364118,0.933032595,0.177531757,1.546120,1.038768,1.397680
131859.497818667,0.128518966,0.285247262,0.933001328,0.177835985,1.546255,1.038650,1.397705
131859.500318667,0.128629098,0.285281276,0.932930556,0.178070112,1.546349,1.038567,1.397710
131859.502818667,0.128531165,0.285247963,0.932885826,0.178432372,1.546399,1.038493,1.397680
131859.505318667,0.128655892,0.285197058,0.932846751,0.178627821,1.546565,1.038376,1.397729
131859.507818667,0.129018708,0.285135267,0.932762167,0.178904499,1.546647,1.038290,1.397688
131859.510318667,0.128528522,0.284889243,0.932841846,0.179232805,1.546722,1.038218,1.397670
131859.512818667,0.128313938,0.284857529,0.932813376,0.179584133,1.546762,1.038145,1.397609
131859.515318667,0.128290264,0.284718270,0.932808299,0.179852093,1.546869,1.038036,1.397611
131859.517818667,0.128511401,0.285047104,0.932655617,0.179961681,1.547117,1.037930,1.397768
131859.520318667,0.128167492,0.284638935,0.932763079,0.180296315,1.547132,1.037853,1.397668
131859.522818667,0.128469673,0.284927925,0.932586439,0.180538327,1.547341,1.037758,1.397784
131859.525318667,0.128739383,0.284963194,0.932521976,0.180627345,1.547507,1.037671,1.397839
131859.527818667,0.128712822,0.284928572,0.932504231,0.180789838,1.547644,1.037574,1.397848
131859.530318667,0.128588260,0.284851706,0.932521111,0.180911855,1.547812,1.037444,1.397872
131859.532818667,0.128523486,0.284863112,0.932461102,0.181245861,1.547965,1.037362,1.397916
131859.535318667,0.128762949,0.284784380,0.932418535,0.181419770,1.548064,1.037273,1.397863
131859.537818667,0.128798534,0.284733093,0.932389268,0.181627688,1.548207,1.037186,1.397881
131859.540318667,0.128288145,0.284693540,0.932431212,0.181836181,1.548405,1.037089,1.397967
131859.542818667,0.128242102,0.284556928,0.932442727,0.182021398,1.548568,1.036998,1.397978
131859.545318667,0.128058383,0.284253504,0.932499071,0.182335811,1.548697,1.036895,1.397937
131859.547818667,0.127715116,0.284227341,0.932530168,0.182457131,1.548864,1.036797,1.397934
131859.550318667,0.127723448,0.284334415,0.932469168,0.182595463,1.549044,1.036704,1.397953
131859.552818667,0.127960467,0.284653307,0.932335902,0.182616796,1.549310,1.036615,1.398079
131859.555318667,0.128007316,0.284633196,0.932298344,0.182803491,1.549485,1.036539,1.398099
131859.557818667,0.128298521,0.284745760,0.932199340,0.182932715,1.549740,1.036435,1.398190
131859.560318667,0.128411957,0.284812151,0.932152746,0.182982377,1.549919,1.036369,1.398206
131859.562818667,0.128559509,0.284835746,0.932074056,0.183247008,1.550150,1.036266,1.398261
131859.565318667,0.128587450,0.284892074,0.932002522,0.183504182,1.550371,1.036193,1.398318
131859.567818667,0.128704189,0.285071904,0.931890636,0.183709110,1.550549,1.036144,1.398344
131859.570318667,0.128879569,0.285065143,0.931824748,0.183932886,1.550814,1.036029,1.398407
131859.572818667,0.128347092,0.284834445,0.931915305,0.184200982,1.550874,1.035977,1.398288
131859.575318667,0.128470319,0.284807600,0.931868539,0.184394262,1.551090,1.035891,1.398329
131859.577818667,0.128650814,0.285296371,0.931646555,0.184634891,1.551329,1.035863,1.398419
131859.580318667,0.129046267,0.285557994,0.931495966,0.184714693,1.551651,1.035774,1.398552
131859.582818667,0.129958837,0.285750455,0.931288706,0.184820070,1.551896,1.035703,1.398602
