archived_path	original_path	size_bytes	sha256
agent_reports/4437f552/agent1_tolerance_report.md	/private/tmp/claude-501/-Users-kaidongwang-Documents-progecttwo/4437f552-36d8-4d91-9d8d-ae4aaadf54b6/scratchpad/agent1_tolerance_report.md	59454	8a40ba73acbc9303f4595a1f630d21a646845fcf8d0b4d29374cce6d622b4429
agent_reports/4437f552/agent2_okvis2_report.md	/private/tmp/claude-501/-Users-kaidongwang-Documents-progecttwo/4437f552-36d8-4d91-9d8d-ae4aaadf54b6/scratchpad/agent2_okvis2_report.md	22678	4d448413ad5c88dc8c044980c499f719ce665a267887744652009a1f73886cae
agent_reports/4437f552/agent4_engine_pedigree_report.md	/private/tmp/claude-501/-Users-kaidongwang-Documents-progecttwo/4437f552-36d8-4d91-9d8d-ae4aaadf54b6/scratchpad/agent4_engine_pedigree_report.md	23377	6d8a76d90a47c07e43850df308e3bb137e0cef264ac0f6629ca2e1666fb4123d
agent_reports/4437f552/agentA_consumption_report.md	/private/tmp/claude-501/-Users-kaidongwang-Documents-progecttwo/4437f552-36d8-4d91-9d8d-ae4aaadf54b6/scratchpad/agentA_consumption_report.md	17597	5d125edbef4aad1ab1ce8ac84fc40ffe3bee5f34f0397e9866025814a874ab18
agent_reports/4437f552/agentB_android_feed_report.md	/private/tmp/claude-501/-Users-kaidongwang-Documents-progecttwo/4437f552-36d8-4d91-9d8d-ae4aaadf54b6/scratchpad/agentB_android_feed_report.md	20268	9e4f7beabf0d8893cb9403022139221a23596a1c29e13cc23c50bbc9fdbbe1f1
agent_reports/4437f552/agentC_scale_accept_report.md	/private/tmp/claude-501/-Users-kaidongwang-Documents-progecttwo/4437f552-36d8-4d91-9d8d-ae4aaadf54b6/scratchpad/agentC_scale_accept_report.md	19653	9eee96fd46183b9b9b7a77e43f02ebddaae414a8a24d1be7c0464c70f62b8624
agent_reports/4437f552/agentD_depth_ruler_report.md	/private/tmp/claude-501/-Users-kaidongwang-Documents-progecttwo/4437f552-36d8-4d91-9d8d-ae4aaadf54b6/scratchpad/agentD_depth_ruler_report.md	21518	9c8b197772aece58df05cd5bba35a899ffd36657038db2a428e7f6fe5e525663
agent_reports/4437f552/agentE_engine_switch_report.md	/private/tmp/claude-501/-Users-kaidongwang-Documents-progecttwo/4437f552-36d8-4d91-9d8d-ae4aaadf54b6/scratchpad/agentE_engine_switch_report.md	12483	10d4cc4acf4ebad9e5441c20907d0fe69cfe01547cd7ede2a4febb6c4ec93d61
agent_reports/4437f552/agentP_photo_capture_report.md	/private/tmp/claude-501/-Users-kaidongwang-Documents-progecttwo/4437f552-36d8-4d91-9d8d-ae4aaadf54b6/scratchpad/agentP_photo_capture_report.md	16279	6ca0b3e41a828f83dfb2be94798e0b278e6b77e9586e369ec4e95f28a0aaa51f
agent_reports/4437f552/agentZ_zero_arkit_report.md	/private/tmp/claude-501/-Users-kaidongwang-Documents-progecttwo/4437f552-36d8-4d91-9d8d-ae4aaadf54b6/scratchpad/agentZ_zero_arkit_report.md	28296	153b896d795de0e6138771554449b78430dc3b1964b504ddf976bdb63aade942
autofocus/4437f552/agentout/papers.md	/private/tmp/claude-501/-Users-kaidongwang-Documents-progecttwo/4437f552-36d8-4d91-9d8d-ae4aaadf54b6/scratchpad/agentout/papers.md	142	eff8a954f39ad4825ce6c46d4a0806e0602e5899b0273a3d1c474a97753b4037
autofocus/4437f552/agentout/platforms.md	/private/tmp/claude-501/-Users-kaidongwang-Documents-progecttwo/4437f552-36d8-4d91-9d8d-ae4aaadf54b6/scratchpad/agentout/platforms.md	19	3c601e1cc8528801babd2dfbff92c095c94f554c458f3963822c00cf9897b7e7
autofocus/4437f552/agentout/published.md	/private/tmp/claude-501/-Users-kaidongwang-Documents-progecttwo/4437f552-36d8-4d91-9d8d-ae4aaadf54b6/scratchpad/agentout/published.md	76	af00b8eedb4f767cea792dc22582eb55435dce5ab2948bf8dcb269578ab789c6
autofocus/4437f552/agentout/repos.md	/private/tmp/claude-501/-Users-kaidongwang-Documents-progecttwo/4437f552-36d8-4d91-9d8d-ae4aaadf54b6/scratchpad/agentout/repos.md	73	eeaaa328aa7fb31295c3e1eccdedafbc8bf4379b6af1298ca248b13c44428565
autofocus/4437f552/arxiv2.log	/private/tmp/claude-501/-Users-kaidongwang-Documents-progecttwo/4437f552-36d8-4d91-9d8d-ae4aaadf54b6/scratchpad/arxiv2.log	1295	0b31ac3f9649a7bb53ec774c2dee849143c9c21383b3be5ab3b05b373a2420e9
autofocus/4437f552/benchbuild.log	/private/tmp/claude-501/-Users-kaidongwang-Documents-progecttwo/4437f552-36d8-4d91-9d8d-ae4aaadf54b6/scratchpad/benchbuild.log	649	d56a5abc4bce7e3ae8fa31f9fb2b9fcc648e607f7a022647cadbf5d5762afec5
autofocus/4437f552/benchbuild2.log	/private/tmp/claude-501/-Users-kaidongwang-Documents-progecttwo/4437f552-36d8-4d91-9d8d-ae4aaadf54b6/scratchpad/benchbuild2.log	576	015bdd72d52501fbc4cbf0f0b9c7328c9b5631664623c6fe79af556fa059bb39
